frame,X,Y,Xs,Ys,inliers,ref_idx,mode
274,0.8060174168081347,0.983997711507451,0.8060174168081347,0.983997711507451,28,2,ref
275,0.8077319498337028,0.9720832580349199,0.8077319498337028,0.9720832580349199,31,2,ref
276,0.8052431093879918,0.9660188396630336,0.8052431093879918,0.9660188396630336,36,2,ref
277,0.8046385094754711,0.9664532535865211,0.8046385094754711,0.9664532535865211,33,2,ref
278,0.8080583052201703,0.9670351510370327,0.8080583052201703,0.9670351510370327,41,2,ref
279,0.8150807991789079,0.9676739567115211,0.8150807991789079,0.9676739567115211,27,2,ref
280,0.8198778105945121,0.9714692139540702,0.8198778105945121,0.9714692139540702,34,2,ref
281,0.8254992702847838,0.9775273333240657,0.8254992702847838,0.9775273333240657,29,2,ref
282,0.832137215692558,0.9800213036588077,0.832137215692558,0.9800213036588077,25,2,ref
283,0.8364471638546285,0.9718399862377667,0.8364471638546285,0.9718399862377667,25,2,ref
284,0.8388977727445952,0.9814737666119884,0.8388977727445952,0.9814737666119884,24,2,ref
285,0.8419922280998821,0.980270222836966,0.8419922280998821,0.980270222836966,25,2,ref
286,0.8457647014880126,0.9763878656027578,0.8457647014880126,0.9763878656027578,24,2,ref
287,0.85332074556541,0.9818019663311832,0.85332074556541,0.9818019663311832,21,2,ref
288,0.8499347830558827,0.9781533237878113,0.8499347830558827,0.9781533237878113,21,2,ref
289,0.8515978218975193,0.9759141372191946,0.8515978218975193,0.9759141372191946,21,2,ref
290,0.8538425893847006,0.9795614765207961,0.8538425893847006,0.9795614765207961,16,2,ref
291,0.8517110955688746,0.9775981427935942,0.8517110955688746,0.9775981427935942,19,2,ref
292,0.8462198938340146,0.9528526224699734,0.8462198938340146,0.9528526224699734,25,2,ref
293,0.844952027179185,0.966486486251668,0.844952027179185,0.966486486251668,23,2,ref
294,0.8454520823950249,0.9064120363934607,0.8454520823950249,0.9064120363934607,17,2,ref
295,0.8351522306116614,0.9525142140235765,0.8351522306116614,0.9525142140235765,15,2,ref
296,0.8202363075543929,0.9487669595195727,0.8202363075543929,0.9487669595195727,14,2,ref
297,0.8085785927106429,0.9037258378975754,0.8085785927106429,0.9037258378975754,12,2,ref
298,0.796330420246674,0.8637443352424379,0.796330420246674,0.8637443352424379,12,2,ref
299,0.8156552875121257,0.8798906319506226,0.8156552875121257,0.8798906319506226,12,2,ref
300,0.8129759659523974,0.8889768335742882,0.8129759659523974,0.8889768335742882,16,2,ref
