frame,X,Y,source,inliers
353,0.8761275292733915,0.5579054488958434,cam1,16
354,0.7910299641540619,0.5877696789477224,fused,147
355,0.7616927178250714,0.6004513497828418,cam2,22
356,0.7500539679895915,0.5992872144933541,cam2,107
357,0.7808822004993744,0.5589047392790573,fused,132
358,0.8393832159150202,0.5311656192834963,fused,382
359,0.8904628858079325,0.4927391449521889,fused,49
360,0.7986316907702729,0.5613755732851171,fused,148
361,0.9165165523533811,0.46218313544163203,fused,134
362,0.7616529905764392,0.5768212833087911,cam2,18
363,0.81105615327572,0.543164321360768,fused,195
364,0.7794684168998892,0.5831010283641066,cam2,156
365,0.7854836596526908,0.5859173346953854,cam2,185
366,0.7903339610615788,0.5737316965270982,cam2,15
367,0.90354443920047,0.46031600945540474,fused,67
368,0.9076491139675245,0.4415878674607397,cam1,15
369,0.8375220258264342,0.5217027820396485,fused,237
370,0.8534587539641676,0.5155614483215519,fused,133
371,0.7937873368701674,0.5543165836181678,cam2,26
372,0.8959705851791212,0.4567692924052251,fused,201
373,0.7733756463837023,0.5565255642664809,cam2,39
374,0.9017849933750405,0.4530037155659566,fused,68
375,0.8497569739885996,0.482691379736878,fused,60
376,0.8158730244209136,0.5027518839926862,fused,46
377,0.8799215472473143,0.4475664000882243,fused,133
378,0.7968851678631271,0.5315073724235615,cam2,60
379,0.8045748450694945,0.5347123020515036,cam2,85
380,0.8079588150952739,0.5194477352458853,cam2,22
381,0.8119266411984877,0.508968215534518,cam2,30
382,0.8173957309678829,0.5125722885575307,cam2,345
383,0.8239243442377931,0.5375472984013646,fused,418
384,0.8169863328397702,0.5400245291569635,fused,348
385,0.8269347634232653,0.4789509436313088,cam2,110
386,0.8273904447413316,0.47707532602296193,cam2,23
387,0.8198439732634046,0.46472609443527935,cam2,65
388,0.8139724778272905,0.45482585577639423,cam2,147
389,0.8017553654479606,0.461434947157309,cam2,53
390,0.792119661718134,0.4667188584430243,cam2,54
391,0.7874178034062852,0.4502729178103815,cam2,59
392,0.7879165313766898,0.44355400725691846,cam2,67
393,0.7882240122562802,0.4382730516024717,cam2,101
394,0.7884338440619876,0.4339906844986475,cam2,54
395,0.7887094300812736,0.43069174173519625,cam2,65
396,0.7902387756777967,0.4690988389305897,cam2,150
397,0.8020226989164732,0.4755871596357246,cam2,149
